City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Hasaki,JP,35.7333,140.8333,32.0,43,20,8.05,few clouds
222,Bokoro,TD,12.3807,17.0568,73.6,18,29,8.75,scattered clouds
223,Arawa,PG,-6.2132,155.5367,81.95,80,89,5.86,light rain
224,Avonbridge,GB,55.9335,-3.7412,32.0,86,75,11.5,snow
225,Gardanne,FR,43.4549,5.4691,46.99,92,100,6.82,light rain
226,Provideniya,RU,64.3833,-173.3,5.0,85,90,20.13,light snow
227,Coahuayana,MX,18.7333,-103.6833,80.6,54,20,5.73,few clouds
228,San Cristobal,VE,7.7669,-72.225,87.8,48,40,10.36,scattered clouds
229,Quatre Cocos,MU,-20.2078,57.7625,78.8,83,75,6.91,light rain
230,Manado,ID,1.487,124.8455,75.2,94,40,2.3,scattered clouds
231,Camacha,PT,33.0833,-16.3333,59.0,88,20,6.91,few clouds
232,Batemans Bay,AU,-35.7167,150.1833,69.01,63,79,3.0,broken clouds
233,Macheng,CN,31.1783,115.0319,44.28,69,87,2.37,overcast clouds
234,Longyan,CN,25.1072,117.0225,55.67,80,100,2.66,overcast clouds
235,Gobabis,NA,-22.45,18.9667,70.12,68,96,9.15,overcast clouds
236,Yulara,AU,-25.2406,130.9889,86.0,23,90,17.27,overcast clouds
237,Dunedin,NZ,-45.8742,170.5036,61.0,86,100,1.99,moderate rain
238,Jieshi,CN,22.8134,115.8257,64.99,68,100,3.0,overcast clouds
239,Chingola,ZM,-12.529,27.8838,64.67,99,100,1.72,moderate rain
240,Pingzhuang,CN,42.0372,119.2889,10.17,84,0,2.24,clear sky
241,Khatanga,RU,71.9667,102.5,-18.71,82,4,12.5,clear sky
242,Erzin,TR,36.9559,36.2,53.6,100,75,5.75,broken clouds
243,Sembakung,ID,3.8167,117.25,75.2,100,75,2.3,moderate rain
244,Matagami,CA,49.7502,-77.6328,5.0,51,1,5.75,clear sky
245,Bathsheba,BB,13.2167,-59.5167,80.6,57,40,16.11,scattered clouds
246,Henties Bay,NA,-22.116,14.2845,66.56,78,51,14.7,broken clouds
247,Port Macquarie,AU,-31.4333,152.9167,70.0,94,90,5.75,overcast clouds
248,Coihaique,CL,-45.5752,-72.0662,87.8,25,0,3.44,clear sky
249,Tura,IN,25.5198,90.2201,57.02,49,0,2.57,clear sky
250,Phalodi,IN,27.1333,72.3667,62.47,28,19,4.88,few clouds
251,Turan,VN,16.0678,108.2208,73.4,94,75,2.3,mist
252,Kaitangata,NZ,-46.2817,169.8464,64.99,91,100,3.0,light rain
253,Camana,PE,-16.6228,-72.7111,75.16,72,70,7.43,broken clouds
254,Purpe,RU,64.4803,76.6897,-14.37,90,28,4.79,scattered clouds
255,Grindavik,IS,63.8424,-22.4338,32.0,74,0,9.22,clear sky
256,Diego De Almagro,CL,-26.3667,-70.05,77.63,27,0,10.51,clear sky
257,Buin,CL,-33.7333,-70.75,78.8,41,0,6.91,clear sky
258,Antalaha,MG,-14.9003,50.2788,76.26,87,67,3.94,light rain
259,Sisimiut,GL,66.9395,-53.6735,21.51,77,0,10.87,clear sky
260,Lagoa,PT,39.05,-27.9833,59.41,75,100,25.88,overcast clouds
261,Ugoofaaru,MV,5.6667,73.0,80.98,69,13,6.33,few clouds
262,Flinders,AU,-34.5833,150.8552,68.0,82,97,1.01,overcast clouds
263,Padang,ID,-0.9492,100.3543,75.2,88,40,2.3,light rain
264,Tianpeng,CN,30.9866,103.9393,46.99,100,100,3.69,mist
265,Saldanha,ZA,-33.0117,17.9442,66.2,82,0,14.97,clear sky
266,Koraput,IN,18.8167,82.7167,53.96,42,0,1.43,clear sky
267,Laguna,US,38.421,-121.4238,64.0,51,1,3.44,clear sky
268,San Patricio,US,28.017,-97.5169,78.8,69,90,16.11,overcast clouds
269,Kaina,NG,12.6374,8.5873,69.8,28,0,4.61,clear sky
270,Itaituba,BR,-4.2761,-55.9836,86.0,70,40,4.61,scattered clouds
271,Jais,IN,26.25,81.5333,53.73,66,0,5.39,clear sky
272,Funtua,NG,11.5233,7.3081,66.7,23,0,8.88,clear sky
273,Ruwi,OM,23.5996,58.5507,69.8,78,0,3.44,clear sky
274,Yarmouth,US,41.7057,-70.2286,27.0,54,1,3.44,clear sky
275,Belmonte,BR,-15.8631,-38.8828,73.4,88,75,3.44,broken clouds
276,Sapa,PH,5.1544,120.3241,79.97,86,78,7.36,broken clouds
277,Leningradskiy,RU,69.3833,178.4167,-22.43,84,74,10.25,broken clouds
278,Neftcala,AZ,39.3742,49.2472,46.74,94,80,5.68,broken clouds
279,Kahului,US,20.8947,-156.47,78.8,57,40,23.02,scattered clouds
280,Tereze,RU,43.9361,42.4434,26.6,100,90,17.9,light snow
281,Contamana,PE,-7.3333,-75.0167,90.0,54,100,5.26,overcast clouds
282,Santa Luzia,BR,-19.7697,-43.8514,73.4,73,40,5.75,scattered clouds
283,Dandong,CN,40.1292,124.3947,17.02,81,0,2.44,clear sky
